local_name,address,gmap_id,latitude,longitude,category,avg_rating,num_of_reviews,apto_sillas_de_ruedas,atmosfera_agradable,apto_grupos_grandes,solo_efectivo,state,City
Palma Juice Co.,"Palma Juice Co., 8300 NE 2nd Ave, Miami, FL 33138",0x88d9b1005bc3752d:0xb173e4bc55c800f1,25.851944099999997,-80.1932454,"Juice shop, Health food restaurant",4.4,8,1,0,0,0,FL,Miami
Masayita Minimarket Corporation,"Masayita Minimarket Corporation, 10930 W Flagler St # 304, Miami, FL 33174",0x88d9bf29ce6fd5ad:0xbe51eec47e0a780f,25.7675993,-80.37453339999999,"Grocery store, Restaurant",4.4,18,0,0,0,0,FL,Miami
Brangus Brazilian Steakhouse,"Brangus Brazilian Steakhouse, 161 NE 27th St, Miami, FL 33137",0x88d9b7e8a9248bb1:0x92213a95605034a6,25.802936,-80.19153299999999,Restaurant,4.5,13,1,0,1,0,FL,Miami
Choices Cafe,"Choices Cafe, 711 NW 27th Ave, Miami, FL 33125",0x88d9b719170a9f61:0x30d454a980f76ad3,25.7798366,-80.23910339999999,Restaurant,4.6,45,0,0,0,0,FL,Miami
CLOSED TO PUBLIC - The Salty Donut Kitchen,"CLOSED TO PUBLIC - The Salty Donut Kitchen, 301 NE 61st St, Miami, FL 33137",0x88d9b161815f0cd1:0x788d294b23184585,25.832614099999997,-80.19002189999999,Restaurant,4.6,8,0,0,0,0,FL,Miami
Salt & Sugar Cafe,"Salt & Sugar Cafe, 20 W Flagler St, Miami, FL 33130",0x88d9b69be594d6cd:0x4333ea743ab5734b,25.7740419,-80.194043,Restaurant,4.6,34,0,0,0,0,FL,Miami
Neo's Blender Smoothie Shop,"Neo's Blender Smoothie Shop, 2895 McFarlane Rd Bay C, Miami, FL 33133",0x88d9b70128bfc89f:0x681c88ec0a09253e,25.7275952,-80.2409972,"Health food restaurant, Juice shop",4.6,14,1,0,0,0,FL,Miami
Prana,"Prana, 7293 NW 36th St, Miami, FL 33166",0x88d9b98728e6a527:0xfb5bd70408dd12c4,25.8103485,-80.31559349999999,"Vegetarian restaurant, Health food restaurant, Restaurant",4.7,28,0,0,0,0,FL,Miami
Angie's Epicurean,"Angie's Epicurean, 2222 NW 5 Ave, Miami, FL 33127",0x88d9b7962f330e37:0x545cbd258b6c31f4,25.798593099999998,-80.20343729999999,"Ice cream shop, Dessert shop, Vegan restaurant",4.8,18,0,0,0,0,FL,Miami
Iberico Spanish Restaurant,"Iberico Spanish Restaurant, 15528 SW 72nd St, Miami, FL 33193",0x88d9c1250386fb01:0x4e0f7ca9f064f153,25.6983905,-80.4447467,Restaurant,4.8,8,0,0,0,0,FL,Miami
Military Burgers,"Military Burgers, 10834 SW 104th St, Miami, FL 33176",0x88d9c12bd92db449:0xc16bddf5ebdba1aa,25.671944399999997,-80.3713106,"Fast food restaurant, American restaurant, Hamburger restaurant",4.8,4,0,0,0,0,FL,Miami
Shikany,"Shikany, 251 NW 25th St, Miami, FL 33127",0x88d9b6b25d0f250f:0xf894aad377f361a,25.8008854,-80.2001816,Restaurant,4.8,4,1,0,0,0,FL,Miami
Caro Mio Ristorante,"Caro Mio Ristorante, 3398 SW 22nd St, Miami, FL 33145",0x88d9b7a3506a2169:0x9bceb25b50dd779,25.749798199999997,-80.2494488,Restaurant,4.9,28,0,0,0,0,FL,Miami
iPos Point of Sale,"iPos Point of Sale, 4995 NW 72nd Ave #307, Miami, FL 33166",0x88d9ab9f3edd30e7:0x297c33e88f6952e8,25.818437799999998,-80.31308469999999,"Software company, Accounting software company, Business to business service, Computer networking center, Delivery service, Financial institution, Restaurant supply store, Website designer",5.0,117,1,0,0,0,FL,Miami
Hibachi Grill Masters FOODTRUCK,"Hibachi Grill Masters FOODTRUCK, 13850 SW 8th St, Miami, FL 33184",0x88d9bfa57727df51:0x36d59eaf6bac4d12,25.759833099999998,-80.4202289,Teppanyaki restaurant,5.0,3,0,0,0,0,FL,Miami
Caribbean Airport Cuisine Inc,"Caribbean Airport Cuisine Inc, 2 NE 40th St STE 302, Miami, FL 33137",0x88d9b150fbc75ba7:0xe5b6268540ad1e79,25.8131579,-80.19511589999999,"Association or organization, Restaurant",5.0,1,1,0,0,0,FL,Miami
Kasalta 305 Pizzeria,"Kasalta 305 Pizzeria, 12835 SW 42nd St, Miami, FL 33175",0x88d9bf7b874f1ebf:0x59d0d5e9f6699440,25.7301236,-80.4024295,Pizza restaurant,5.0,5,0,0,0,0,FL,Miami
Krispy rice,"Krispy rice, 1324 SW 1st Ave, Miami, FL 33130",0x88d9b79c36201e27:0xef2ed579ecb2d0a6,25.760706499999998,-80.1952979,Restaurant,2.1,38,1,1,0,0,FL,Miami
Drunken Wok,"Drunken Wok, 1112 NW 62nd St, Miami, FL 33150",0x88d9b1142cdb7015:0xb41a0c87a679f7ce,25.831798,-80.214912,Takeout Restaurant,2.6,47,1,1,0,0,FL,Miami
Man vs Fries,"Man vs Fries, 1324 SW 1st Ave, Miami, FL 33130",0x88d9b7f22430cba1:0x78f875f8e1da53af,25.760889799999998,-80.19477359999999,Restaurant,2.6,24,1,1,1,0,FL,Miami
Natural Chicken Grill,"Natural Chicken Grill, 13800 SW 8th St, Miami, FL 33184",0x88d9bfa57727df51:0xb87f30c516923a1f,25.759546999999998,-80.4190467,Fast food restaurant,2.7,3,1,1,0,0,FL,Miami
Pizza Hut Express,"Pizza Hut Express, 7795 SW 40th St, Miami, FL 33155",0x88d9b862036447a7:0x7e8642e271398198,25.7360351,-80.3207982,"Pizza restaurant, Pizza Takeout",2.9,8,1,1,0,0,FL,Miami
Dunkanoo,"Dunkanoo, 346 NW 24th St, Miami, FL 33127",0x88d9b7b423ea01ed:0x7bdbe528d92584c1,25.7998805,-80.2011916,Restaurant,3.0,8,1,1,1,0,FL,Miami
Table 55,"Table 55, 9100 N Kendall Dr, Miami, FL 33176",0x88d9c717c2c00001:0xaf0d7e77a60ada76,25.6861905,-80.34216459999999,Restaurant,3.1,18,1,1,1,0,FL,Miami
Starbucks,"Starbucks, 7575 SW 88th St, Miami, FL 33173",0x88d9c76c8f00044b:0x20f2c6349aef7800,25.690544,-80.314964,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",3.3,35,1,1,1,0,FL,Miami
Store Grocery,"Store Grocery, 727 NW 111th St, Miami, FL 33168",0x88d9b1c015ea1f1b:0x887379498535ceb0,25.876777099999998,-80.2104813,Restaurant,3.8,18,1,1,0,0,FL,Miami
Half Moon Empanadas,"Half Moon Empanadas, 5250 University Dr, Miami, FL 33146",0x88d9b7ff60caa517:0xc0064686b8ed6cb6,25.720113299999998,-80.2763875,Fast food restaurant,3.8,5,0,1,0,0,FL,Miami
Pizza Hut Express,"Pizza Hut Express, 8363 W Flagler Street Ktpx, Miami, FL 33144",0x88d9b903162ca95b:0xda59f7a9fc581fad,25.770179,-80.331037,"Pizza restaurant, Pizza Takeout",3.8,18,1,1,0,0,FL,Miami
La Familia Bar Restaurant,"La Familia Bar Restaurant, 2818 NW 22nd Ave, Miami, FL 33142",0x88d9b6d58b1f9eed:0x361056e5d8c82e1e,25.802250299999997,-80.2319551,"Bar, Restaurant",3.8,65,1,1,1,0,FL,Miami
Soup!,"Soup!, Perimeter Rd, Miami, FL 33127",0x88d9b6b68f32ef15:0x248e55b8c53553cf,25.7981363,-80.2066778,Restaurant,4.0,1,1,1,0,0,FL,Miami
SUSTAIN restaurant and bar,"SUSTAIN restaurant and bar, 3252 NE 1st Ave, Miami, FL 33137",0x88d9b153881b439f:0xf05271bc1c789daa,25.8075045,-80.19333309999999,"Restaurant, American restaurant",4.0,1,0,1,0,0,FL,Miami
Barracudas Restaurant & Cafetería,"Barracudas Restaurant & Cafetería, 10949 SW 186th St, Miami, FL 33157",0x88d9c34c50a186d3:0x2c1911411aa42ead,25.5964355,-80.3694458,Cuban restaurant,4.0,4,1,1,1,0,FL,Miami
Canton Palace Chinese Restaurant,"Canton Palace Chinese Restaurant, 7980 SW 8th St, Miami, FL 33144",0x88d9b9009976b2d1:0xdb8853eabc1567cd,25.761476,-80.325898,Chinese restaurant,4.1,25,1,1,1,0,FL,Miami
Cosme Cafe,"Cosme Cafe, 8390 Bird Rd, Miami, FL 33155",0x88d9b88fc73d93b5:0xd6dfbcd1737e9033,25.7328528,-80.3311611,Cuban restaurant,4.1,28,1,1,1,0,FL,Miami
Pasha's,"Pasha's, 1120 NW 14th St, Miami, FL 33136",0x88d9b6c12dc5bc55:0x8ff2d900fb614b69,25.7871651,-80.21294379999999,"Mediterranean restaurant, Restaurant",4.2,5,1,1,1,0,FL,Miami
El Palenque Pizzería Cubana,"El Palenque Pizzería Cubana, 8698 SW 40th St, Miami, FL 33155",0x88d9b9c2a7b16fbb:0x960bb156a4532c53,25.732790299999998,-80.3356063,"Pizza restaurant, Cuban restaurant, Family restaurant, Fast food restaurant, Pizza Takeout",4.2,18,1,1,0,0,FL,Miami
Pokekai Brickell,"Pokekai Brickell, 609 Brickell Ave, Miami, FL 33131",0x88d9abc90f605ab7:0xc445345531456d88,25.7676664,-80.1895552,Sushi restaurant,4.2,8,1,1,1,0,FL,Miami
Cinco hermanos taqueria,"Cinco hermanos taqueria, 18398 S Dixie Hwy, Miami, FL 33157",0x88d9c587d322385b:0x25713d15aff7bd75,25.5989008,-80.35443959999999,Mexican restaurant,4.3,8,1,1,0,0,FL,Miami
Sra Martinez,"Sra Martinez, 4000 NE 2nd Ave, Miami, FL 33137",0x88d9b15715c73e35:0xab6ded887b2971c6,25.8136671,-80.19265,Restaurant,4.3,13,0,1,0,0,FL,Miami
Simply Indian,"Simply Indian, 1806 SW 22nd Ave, Miami, FL 33145",0x88d9b7ef4a91490f:0xfe3bc08c8946a2ed,25.754803499999998,-80.2304261,"Indian restaurant, Afghani restaurant, Mediterranean restaurant, Pakistani restaurant",4.3,134,1,1,0,0,FL,Miami
La Fontana Downtown,"La Fontana Downtown, 9 W Flagler St, Miami, FL 33130",0x88d9b75971ace67b:0x959df3ed3df7337e,25.7742582,-80.19383859999999,Restaurant,4.4,7,1,1,1,0,FL,Miami
Baywood Local Eatery,"Baywood Local Eatery, 7010 Biscayne Blvd, Miami, FL 33138",0x88d9b33e79f066d1:0xdd0ec6c22dc2cd7c,25.8397641,-80.184463,Restaurant,4.5,38,1,1,1,0,FL,Miami
Wok Masters by Moy,"Wok Masters by Moy, 6907 S Red Rd, Miami, FL 33143",0x88d9c7e5ca8587cf:0x35431fd9edb320bc,25.704978999999998,-80.285302,Restaurant,4.5,4,1,1,1,0,FL,Miami
Aja Food Truck (Bird Road),"Aja Food Truck (Bird Road), 6795 SW 40th St, Miami, FL 33155",0x88d9b98bc8fedd3d:0xb349e42deb4f228,25.733689,-80.3044879,Fast food restaurant,4.5,24,0,1,0,0,FL,Miami
Sushi Express (Delivery lunch & Catering ),"Sushi Express (Delivery lunch & Catering ), 3995 NW 25th St, Miami, FL 33142",0x88d9b980d4d86b0f:0xa6526c09513bda3d,25.798781599999998,-80.261611,"Sushi takeaway, Delivery Restaurant",4.5,46,1,1,1,0,FL,Miami
Esencias Cafe,"Esencias Cafe, 7500 NW 25th St STE 103, Miami, FL 33122",0x88d9b99c54d9fb41:0xa89a41a1e19b7fb6,25.796297799999998,-80.3197521,Restaurant,4.6,45,1,1,1,0,FL,Miami
Crab Du Jour Cajun Seafood & Bar,"Crab Du Jour Cajun Seafood & Bar, 3201 N Miami Ave Unit 106, Miami, FL 33127",0x88d9b1f38dff4dff:0x61443de98cd9c88c,25.80792,-80.1943823,"Seafood restaurant, Bar, Cajun restaurant, Chicken wings restaurant",4.7,88,1,1,1,0,FL,Miami
Wasska Lounge,"Wasska Lounge, 111 NE 3rd Ave, Miami, FL 33132",0x88d9b69e16775205:0x9acda311ea9a90bd,25.7756515,-80.1885321,Bar & grill,4.7,7,0,1,1,0,FL,Miami
Miami's Finest Pizza,"Miami's Finest Pizza, 12835 SW 42nd St, Miami, FL 33175",0x88d9bf56d7b0acd1:0x4fd1d89cbd47fe7f,25.7301236,-80.4024295,"Pizza restaurant, Restaurant",4.7,18,1,1,0,0,FL,Miami
Chicken pollo,"Chicken pollo, 8861 SW 40th St, Miami, FL 33165",0x88d9b9b3d12ce4e9:0x8f231a1fa8bed46d,25.7332015,-80.33924569999999,Fast food restaurant,4.8,18,1,1,0,0,FL,Miami
Pizzarello Miami,"Pizzarello Miami, 11735 SW 147th Ave #3, Miami, FL 33196",0x88d9c1b68efc1d09:0x60c2ba03c4fce6b4,25.6581357,-80.43088,"Pizza restaurant, Mobile caterer",4.8,47,1,1,0,0,FL,Miami
Pizza cubana& Italiana Dileo's House LLC,"Pizza cubana& Italiana Dileo's House LLC, 7300 W Flagler St, Miami, FL 33144",0x88d9b714af842939:0xbc6dc5c9cb27536e,25.769771799999997,-80.31392129999999,Pizza restaurant,4.9,38,1,1,1,0,FL,Miami
GALIPAN Bistro,"GALIPAN Bistro, 1741 NE 2nd Ave, Miami, FL 33132",0x88d9b7078225f219:0x900a10d7bb0fb51f,25.7925328,-80.1902745,"Fast food restaurant, Hamburger restaurant, Venezuelan restaurant",4.9,57,1,1,1,0,FL,Miami
Rinconcito Miami #5 - Kendall Breeze,"Rinconcito Miami #5 - Kendall Breeze, 12700 SW 128th St, Miami, FL 33186",0x88d9c1f2ac59568b:0x7e92fe0dcd4a9311,25.6485482,-80.39962469999999,Latin American restaurant,4.9,55,1,1,1,0,FL,Miami
Mediterraneum Street Food,"Mediterraneum Street Food, 2960 Coral Way, Miami, FL 33145",0x88d9b73cddd660ed:0x584bf233ffdfa17c,25.7500163,-80.2418323,"Mediterranean restaurant, Spanish restaurant, Tapas restaurant",4.9,58,1,1,1,0,FL,Miami
Sokai Kendall,"Sokai Kendall, 11735 SW 147th Ave #23, Miami, FL 33196",0x88d9c1b64bf86c6d:0xbebb89fbc819d355,25.657633,-80.43101829999999,Restaurant,4.9,48,1,1,0,0,FL,Miami
Donde TImmy,"Donde TImmy, 12241 SW 112th St, Miami, FL 33186",0x88d9c1405a079a6f:0x441f7f37d45c70dd,25.6618838,-80.39362679999999,"Fast food restaurant, Restaurant",4.9,15,1,1,1,0,FL,Miami
Signatures7,"Signatures7, 2250 NW 2nd Ave, Miami, FL 33127",0x88d9b7ec39637c5f:0x2605d817e4adc732,25.798617699999998,-80.1994059,Restaurant,5.0,1,1,1,1,0,FL,Miami
La Cocotte,"La Cocotte, 150 W Flagler St, Miami, FL 33130",0x88d9b69a3c5e59e1:0xc570c74bc88092f1,25.7735721,-80.1970523,Restaurant,5.0,4,0,1,0,0,FL,Miami
Dave Jamaican Bakery & Restaurant,"Dave Jamaican Bakery & Restaurant, 700 NW 183rd St, Miami, FL 33169",0x88d9ae5eeef3acaf:0xf8a05c837983f62,25.941816199999998,-80.2135672,Jamaican restaurant,3.8,38,0,0,0,0,FL,Miami
Breakfast beauties,"Breakfast beauties, 2022 NW 21st Ave, Miami, FL 33142",0x88d9b739ebf03117:0xd4a4ad89c6535158,25.7951348,-80.2295432,Breakfast restaurant,1.4,8,0,1,0,0,FL,Miami
El Sabor Boricua,"El Sabor Boricua, Mobile Food Truck, Miami, FL 33167",0x88d9b036aaaaaaab:0xd60ae806106dc219,25.8830363,-80.2377078,Fast food restaurant,5.0,3,0,1,0,0,FL,Miami
Chez Anouse,"Chez Anouse, 5616 NW 2nd Ave B, Miami, FL 33127",0x88d9b142992ac7ff:0x7d6fc486b5a1fb3d,25.827415799999997,-80.2003506,Restaurant,4.2,8,0,1,0,0,FL,Miami
Runway Grille & Deli,"Runway Grille & Deli, 7415 Corporate Center Dr, Miami, FL 33126",0x88d9b99efd88d2eb:0xe5eca45e19ff632a,25.791843,-80.318055,"Deli, Restaurant",3.7,25,0,0,0,0,FL,Miami
La Boulangerie Lebanese,"La Boulangerie Lebanese, 1800 SW 27th Ave, Miami, FL 33145",0x88d9b708a63776f1:0x9f53662a9c0347f7,25.7545112,-80.23863539999999,Restaurant,4.9,15,0,0,0,0,FL,Miami
Pepitería 13,"Pepitería 13, 0131250040190, Miami, FL 33137",0x88d9b768cf818011:0x30a66db5da9d52bf,25.8038469,-80.1939712,Restaurant,4.7,3,0,0,0,0,FL,Miami
Momi Gyoza Bar,"Momi Gyoza Bar, 1036 S Miami Ave, Miami, FL 33130",0x88d9b68408e470d9:0x56d0852e8241d18b,25.7638248,-80.1933181,Japanese restaurant,4.6,5,0,1,0,0,FL,Miami
Hungry Howie's Pizza & Subs,"Hungry Howie's Pizza & Subs, 3206 Grand Ave, Miami, FL 33133",0x88d9b7c50525c001:0xb4dad3c0c260c665,25.7277584,-80.2454521,"Pizza restaurant, Chicken wings restaurant, Delivery Restaurant, Takeout Restaurant, Pizza delivery, Pizza Takeout, Salad shop, Sandwich shop",4.3,18,0,0,0,0,FL,Miami
Rust Wynwood,"Rust Wynwood, 2621 NW 2nd Ave space 28, Miami, FL 33127",0x88d9b6b283ddca3d:0x24b03b734fb6b83a,25.801769,-80.198917,"Bar & grill, Restaurant",3.8,38,0,0,0,1,FL,Miami
Quiznos,"Quiznos, 13710 SW 56th St, Miami, FL 33175",0x88d9c07b4639687d:0xef94d9d46bc5ba2a,25.712592599999997,-80.4155298,"Sandwich shop, Caterer, Deli, Fast food restaurant, Restaurant",4.6,8,0,0,0,0,FL,Miami
Alacarte Delivery,"Alacarte Delivery, 3221 NE 2nd Ave, Miami, FL 33137",0x88d9b48851c8d60f:0xeb63c71176a97c91,25.807410899999997,-80.19094319999999,"Delivery Restaurant, Restaurant",3.8,17,0,0,0,0,FL,Miami
Lima Services of Miami,"Lima Services of Miami, 2140 W Flagler St #104, Miami, FL 33135",0x88d9b6e2c33948b5:0x648da89bd782482e,25.7724174,-80.2300836,"General store, Airline ticket agency, Courier service, Delivery service, Gift shop, Money transfer service, Peruvian restaurant, Shipping service",4.3,7,0,0,0,0,FL,Miami
Sabores by Chef James,"Sabores by Chef James, 4100 W Flagler St, Miami, FL 33134",0x88d9b77052aac141:0xb5e9541810cbe2f4,25.7714371,-80.2627223,Pan-Latin restaurant,4.1,33,0,0,0,0,FL,Miami
I love ny pizza,"I love ny pizza, 15725 SW 72nd St, Miami, FL 33193",0x88d9c023c86a5ae3:0xa445517799bf39fb,25.700191999999998,-80.44805,"Pizza delivery, Takeout Restaurant, Pizza restaurant",3.4,24,0,0,0,0,FL,Miami
La Ceiba Restaurant Cafe,"La Ceiba Restaurant Cafe, 6212 SW 8th St, Miami, FL 33144",0x88d9b834d7f2fba1:0xcf9b90dbd3290036,25.762985,-80.2963456,Honduran restaurant,4.0,58,0,0,0,0,FL,Miami
Gran pollo,"Gran pollo, 7500-7770 NW 12th Ct, Miami, FL 33147",0x88d9b10f1c9ab743:0xed9ee78052eb63c0,25.844551,-80.218498,Chicken restaurant,4.3,8,0,0,0,0,FL,Miami
El Aguila Restaurant,"El Aguila Restaurant, 2291 NW 36th St, Miami, FL 33142",0x88d9b0d5a09039cd:0x5bce53d02e7ad76d,25.809485,-80.23392,Dominican restaurant,3.8,18,0,0,0,0,FL,Miami
Pizzería La Guacamaya,"Pizzería La Guacamaya, 12835 SW 42nd St, Miami, FL 33175",0x88d9bf7c7bce46bb:0xe01dde47c33fabf0,25.7301683,-80.4026567,"Pizza restaurant, Italian restaurant",4.7,28,0,1,0,0,FL,Miami
Pan American Cafe,"Pan American Cafe, 445 NW 12th Ave, Miami, FL 33128",0x88d9b6ebdadafb09:0x5f07e5b01ffc9a59,25.778254,-80.2146061,Cuban restaurant,4.4,28,0,1,1,0,FL,Miami
The DRB,"The DRB, 255 NE 14th St, Miami, FL 33132",0x88d9b6a70f955617:0xd267b183bbfcbadf,25.788390999999997,-80.1894475,"Restaurant, Bar",4.0,7,0,1,1,0,FL,Miami
Waxy O'Connor's,"Waxy O'Connor's, 690 SW 1st Ct, Miami, FL 33130",0x88d9b68526aa9fe7:0xe5638560b1428fae,25.767835599999998,-80.1962315,"Bar, Restaurant",4.6,5,0,1,1,0,FL,Miami
El Encanto Restaurant,"El Encanto Restaurant, 2148 NW 17th Ave, Miami, FL 33142",0x88d9b6d05824a509:0xf05ea2f523fc131a,25.7962882,-80.2234682,"Restaurant, Bar & grill",4.2,18,0,1,1,0,FL,Miami
Sabor Hondureño Cafetería Restaurant,"Sabor Hondureño Cafetería Restaurant, 722 W Flagler St, Miami, FL 33130",0x88d9b693a5e7ae35:0xeaac107e29615e39,25.7736187,-80.2066188,Honduran restaurant,4.4,8,0,1,1,0,FL,Miami
La Masica Cafeteria & Restaurante,"La Masica Cafeteria & Restaurante, 311 SW 12th Ave, Miami, FL 33130",0x88d9b6edf6328eed:0x3d90c20ea3fac661,25.7703794,-80.2144359,Honduran restaurant,4.6,68,0,1,1,0,FL,Miami
Tony´s Venezuelan Street Food,"Tony´s Venezuelan Street Food, 2600 NE 2nd Ave, Miami, FL 33137",0x88d9b6ab1171e225:0xee8b7aa5156ec770,25.801799499999998,-80.19128119999999,Venezuelan restaurant,4.9,13,0,1,1,0,FL,Miami
Bijon Restaurant,"Bijon Restaurant, 825 NW 119th St, Miami, FL 33168",0x88d9b1c3a56d1c63:0x72339941545153a1,25.8842054,-80.21341699999999,"African restaurant, Restaurant",4.1,8,0,1,1,0,FL,Miami
Lala's Seafood,"Lala's Seafood, 3195 NW 20th St, Miami, FL 33142",0x88d9b73a3fbac151:0xf36472990bbd45c,25.7942809,-80.24758969999999,Seafood restaurant,4.0,4,1,1,0,0,FL,Miami
DHABA INDIAN KITCHEN,"DHABA INDIAN KITCHEN, 56 NE 14th St, Miami, FL 33132",0x88d9b7b9db493d23:0xf1e67c8d3e84c1c1,25.788195899999998,-80.19305419999999,Indian restaurant,4.6,78,1,1,0,0,FL,Miami
Cafe Lago,"Cafe Lago, 9333 NW 12th St, Miami, FL 33172",0x88d9b93c6cf3c543:0x3d535fbaec59d8f6,25.783561,-80.34720999999999,Cuban restaurant,4.0,33,1,1,0,0,FL,Miami
Runway Grille & Deli Restaurant,"Runway Grille & Deli Restaurant, 790 NW 107th Ave # 100, Miami, FL 33172",0x88d9bed3b08c4e01:0x710b8faea6018000,25.777707,-80.3706916,American restaurant,4.4,13,1,1,0,0,FL,Miami
Agua Roja Miami,"Agua Roja Miami, 8872 SW 24th St #2008, Miami, FL 33165",0x88d9b8eb93e30f25:0x55c7d06d016e9cd8,25.7471313,-80.3389351,Bar & grill,4.4,45,1,0,0,0,FL,Miami
Sushi Yasu Tanaka,"Sushi Yasu Tanaka, 140 NE 39th St STE 241, Miami, FL 33137",0x88d9b1829d7fff89:0x5b20b47854aab7da,25.8123337,-80.1917201,"Sushi restaurant, Sushi takeaway",5.0,14,1,0,0,0,FL,Miami
Caesar's Acai Bowl,"Caesar's Acai Bowl, 609 Brickell Ave, Miami, FL 33131",0x88d9b8b97c7e417f:0xd354984a7d981f20,25.767495399999998,-80.1891038,Health food restaurant,4.6,28,1,0,0,1,FL,Miami
Indopak Curry Spices,"Indopak Curry Spices, 18901 SW 106th Ave, Miami, FL 33157",0x88d9c4799e643b7f:0xbfb4c7497317f5a,25.5901832,-80.3618827,"Spice store, Convenience store, Discount store, Grocery store, Indian grocery store, Indian restaurant, Organic restaurant, Pakistani restaurant",4.7,16,1,0,0,0,FL,Miami
Food Trucks Fridays at Tamiami Park,"Food Trucks Fridays at Tamiami Park, 11201 SW 24th St, Miami, FL 33175",0x88d9bf383b96835b:0x738f97887acfb272,25.748584599999997,-80.3771941,"Food court, Restaurant",3.8,6,1,0,0,0,FL,Miami
Cold Stone Creamery,"Cold Stone Creamery, 12536 SW 120th St, Miami, FL 33186",0x88d9c11259cc8499:0x5d3513de607329c7,25.656767,-80.398,"Ice cream shop, Cake shop, Dessert restaurant, Frozen yogurt shop",2.5,24,1,0,0,0,FL,Miami
Gualt's Gourmet Italian Café,"Gualt's Gourmet Italian Café, 201 S Biscayne Blvd #4332, Miami, FL 33131",0x88d9b4277a965e9f:0xedf08b90ff765ff,25.772095099999998,-80.1867219,"Coffee shop, Cafe, Restaurant",4.7,18,1,1,0,0,FL,Miami
Los Gauchos CBS,"Los Gauchos CBS, 6605 SW 127th Ave, Miami, FL 33183",0x88d9c161f67332d9:0x2641685fb81b4fd8,25.7053184,-80.3987884,Barbecue restaurant,4.9,18,1,1,0,0,FL,Miami
Arere Cuban Cuisine,"Arere Cuban Cuisine, 19100 SW 177th Ave, Miami, FL 33187",0x88d9e9fb8969730d:0xd61f4f6006f5d5d6,25.5872524,-80.4790656,Restaurant,5.0,1,1,1,0,0,FL,Miami
