local_name,address,gmap_id,latitude,longitude,category,avg_rating,num_of_reviews,apto_sillas_de_ruedas,atmosfera_agradable,apto_grupos_grandes,solo_efectivo,city
El Turco Turkish Food,"El Turco Turkish Food, 184 NE 50th Terrace Unit 307, Miami, FL 33137",0x88d9b1d0c4ab1ae3:0x36684aa73c0aa604,25.8219146,-80.1920681,Restaurant,4.8,36,1,1,0,0,Miami
Pastamarket,"Pastamarket, 209 NE 82nd Terrace, Miami, FL 33138",0x88d9b179652b5bc5:0x7e6dbbc2c018a26f,25.8500668,-80.19248189999999,Restaurant,4.9,58,1,1,0,0,Miami
The Cubanest Arab food truck,"The Cubanest Arab food truck, 3540 NW 103rd St, Miami, FL 33147",0x88d9b108e85261c3:0x78af7d5f27d95c73,25.867289,-80.2554585,Restaurant,5.0,1,1,1,0,0,Miami
Choices Cafe,"Choices Cafe, 711 NW 27th Ave, Miami, FL 33125",0x88d9b719170a9f61:0x30d454a980f76ad3,25.7798366,-80.23910339999999,Restaurant,4.6,45,0,0,0,0,Miami
Biscayne Backyard Barbecue,"Biscayne Backyard Barbecue, 11064 Biscayne Blvd, Miami, FL 33161",0x88d9b395c6179c89:0x914b0aafb453b3b5,25.8779042,-80.1684336,Restaurant,3.9,23,0,0,0,0,Miami
CLOSED TO PUBLIC - The Salty Donut Kitchen,"CLOSED TO PUBLIC - The Salty Donut Kitchen, 301 NE 61st St, Miami, FL 33137",0x88d9b161815f0cd1:0x788d294b23184585,25.832614099999997,-80.19002189999999,Restaurant,4.6,8,0,0,0,0,Miami
iPos Point of Sale,"iPos Point of Sale, 4995 NW 72nd Ave #307, Miami, FL 33166",0x88d9ab9f3edd30e7:0x297c33e88f6952e8,25.818437799999998,-80.31308469999999,Restaurant,5.0,117,1,0,0,0,Miami
La Sombra,"La Sombra, 1010 Collins Ct, Miami Beach, FL 33139",0x88d9b5acfd274ec1:0xa9f7ee30f212759b,25.7809614,-80.1317327,Restaurant,5.0,1,0,0,0,0,Miami
Heavenly Indian vegetarian and kosher,"Heavenly Indian vegetarian and kosher, 9486 N Springboro Pike, Miamisburg, OH 45342",0x8840898f2127a9ad:0xfe41072bede463a,39.6133641,-84.2269206,Restaurant,4.5,2,0,0,0,0,Miami
Quiznos,"Quiznos, 2490 SW 17th Ave, Miami, FL 33145",0x88d9b64fee5193ab:0x86da272b8d1aa234,25.746303299999997,-80.2219976,Restaurant,3.0,8,0,0,0,0,Miami
Subway,"Subway, 1395 Brickell Ave Suite 160, Miami, FL 33131",0x88d9b6811a7761f5:0xf3d18ce005b495a0,25.760705599999998,-80.1914888,Restaurant,3.3,27,0,0,0,0,Miami
Prana,"Prana, 7293 NW 36th St, Miami, FL 33166",0x88d9b98728e6a527:0xfb5bd70408dd12c4,25.8103485,-80.31559349999999,Restaurant,4.7,28,0,0,0,0,Miami
Wok Town Miami Beach,"Wok Town Miami Beach, 1570 Alton Rd, Miami Beach, FL 33139",0x88d9b48875565595:0xc6f6d04f72f1bf4e,25.7885769,-80.1413244,Restaurant,3.1,28,0,0,0,0,Miami
Sbarro,"Sbarro, 1451 Ocean Dr Unit 102, Miami Beach, FL 33139",0x88d9b535d41add47:0x734d7577af403235,25.786939399999998,-80.12938079999999,Restaurant,3.0,2,0,0,0,0,Miami
Salt & Sugar Cafe,"Salt & Sugar Cafe, 20 W Flagler St, Miami, FL 33130",0x88d9b69be594d6cd:0x4333ea743ab5734b,25.7740419,-80.194043,Restaurant,4.6,34,0,0,0,0,Miami
Asian Sushi Street,"Asian Sushi Street, 1557 NE 167th St, North Miami Beach, FL 33162",0x88d9adc6411d6dc3:0x2b480ec79c1a46b1,25.929631699999998,-80.16916169999999,Restaurant,4.1,18,1,0,0,0,Miami
Havana Vice,"Havana Vice, 13960 SW 8th St, Miami, FL 33184",0x88d9bfa555b15265:0x7c664601387e00a4,25.760469099999998,-80.4212864,Restaurant,3.9,48,0,0,0,0,Miami
Iberico Spanish Restaurant,"Iberico Spanish Restaurant, 15528 SW 72nd St, Miami, FL 33193",0x88d9c1250386fb01:0x4e0f7ca9f064f153,25.6983905,-80.4447467,Restaurant,4.8,8,0,0,0,0,Miami
Miami Nights,"Miami Nights, 4547 Austin Blvd, Island Park, NY 11558",0x89c26552a19940d3:0x9f1e41386593d33b,40.5989522,-73.6549242,Restaurant,4.3,3,0,0,0,0,Miami
Jimmy John's,"Jimmy John's, 3423 Main Hwy, Miami, FL 33133",0x88d9b7cf901aa20d:0x7ac94c53e005abde,25.727453,-80.24264699999999,Restaurant,4.1,16,1,0,0,0,Miami
Tapelia,"Tapelia, 30 SW 12th St, Miami, FL 33130",0x88d9b686ac4f6f4b:0x646dba9ec289041f,25.762428,-80.1933188,Restaurant,3.2,8,0,0,0,0,Miami
Caribbean Airport Cuisine Inc,"Caribbean Airport Cuisine Inc, 2 NE 40th St STE 302, Miami, FL 33137",0x88d9b150fbc75ba7:0xe5b6268540ad1e79,25.8131579,-80.19511589999999,Restaurant,5.0,1,1,0,0,0,Miami
BAHOR WOOD OVEN & GRILL RESTAURANT,"BAHOR WOOD OVEN & GRILL RESTAURANT, 3933 NE 163rd St, North Miami Beach, FL 33160",0x88d9ad1ad5daecf7:0xe742998996059085,25.931331,-80.131219,Restaurant,3.6,58,1,0,0,1,Miami
Caro Mio Ristorante,"Caro Mio Ristorante, 3398 SW 22nd St, Miami, FL 33145",0x88d9b7a3506a2169:0x9bceb25b50dd779,25.749798199999997,-80.2494488,Restaurant,4.9,28,0,0,0,0,Miami
Masayita Minimarket Corporation,"Masayita Minimarket Corporation, 10930 W Flagler St # 304, Miami, FL 33174",0x88d9bf29ce6fd5ad:0xbe51eec47e0a780f,25.7675993,-80.37453339999999,Restaurant,4.4,18,0,0,0,0,Miami
Le Piment Miami,"Le Piment Miami, 864 Commerce St, Miami Beach, FL 33139",0x88d9b557c8d61ba3:0x7423924bfc229066,25.768864699999998,-80.13660329999999,Restaurant,4.8,26,0,0,0,0,Miami
Shikany,"Shikany, 251 NW 25th St, Miami, FL 33127",0x88d9b6b25d0f250f:0xf894aad377f361a,25.8008854,-80.2001816,Restaurant,4.8,4,1,0,0,0,Miami
Store Grocery,"Store Grocery, 727 NW 111th St, Miami, FL 33168",0x88d9b1c015ea1f1b:0x887379498535ceb0,25.876777099999998,-80.2104813,Restaurant,3.8,18,1,1,0,0,Miami
Krispy rice,"Krispy rice, 1324 SW 1st Ave, Miami, FL 33130",0x88d9b79c36201e27:0xef2ed579ecb2d0a6,25.760706499999998,-80.1952979,Restaurant,2.1,38,1,1,0,0,Miami
Drunken Wok,"Drunken Wok, 1112 NW 62nd St, Miami, FL 33150",0x88d9b1142cdb7015:0xb41a0c87a679f7ce,25.831798,-80.214912,Restaurant,2.6,47,1,1,0,0,Miami
Soup!,"Soup!, Perimeter Rd, Miami, FL 33127",0x88d9b6b68f32ef15:0x248e55b8c53553cf,25.7981363,-80.2066778,Restaurant,4.0,1,1,1,0,0,Miami
SUSTAIN restaurant and bar,"SUSTAIN restaurant and bar, 3252 NE 1st Ave, Miami, FL 33137",0x88d9b153881b439f:0xf05271bc1c789daa,25.8075045,-80.19333309999999,Restaurant,4.0,1,0,1,0,0,Miami
Miami's Finest Pizza,"Miami's Finest Pizza, 12835 SW 42nd St, Miami, FL 33175",0x88d9bf56d7b0acd1:0x4fd1d89cbd47fe7f,25.7301236,-80.4024295,Restaurant,4.7,18,1,1,0,0,Miami
La Cocotte,"La Cocotte, 150 W Flagler St, Miami, FL 33130",0x88d9b69a3c5e59e1:0xc570c74bc88092f1,25.7735721,-80.1970523,Restaurant,5.0,4,0,1,0,0,Miami
Sra Martinez,"Sra Martinez, 4000 NE 2nd Ave, Miami, FL 33137",0x88d9b15715c73e35:0xab6ded887b2971c6,25.8136671,-80.19265,Restaurant,4.3,13,0,1,0,0,Miami
Sokai Kendall,"Sokai Kendall, 11735 SW 147th Ave #23, Miami, FL 33196",0x88d9c1b64bf86c6d:0xbebb89fbc819d355,25.657633,-80.43101829999999,Restaurant,4.9,48,1,1,0,0,Miami
Cake Thai,"Cake Thai, Miami Beach, FL 33139",0x88d9b52905280af3:0x1ff56e4e9d6dc901,25.7914745,-80.1363594,Restaurant,4.5,2,0,0,0,0,Miami
Provence Grill,"Provence Grill, 1223 Lincoln Rd, Miami Beach, FL 33139",0x88d9b48793f4098f:0x17b6e9ac43d8cd31,25.7905767,-80.14177289999999,Restaurant,4.2,6,0,0,0,0,Miami
Monsieur Poutine,"Monsieur Poutine, Bar Nancy, 2007 SW 8th St, Miami, FL 33135",0x88d9b791506762bf:0xc96ee3c5016db5ed,25.765729999999998,-80.2282755,Restaurant,4.5,6,0,0,0,0,Miami
Kitchen Grill,"Kitchen Grill, 8444 SW 8th St, Miami, FL 33144",0x88d9b8e34a8b1d1b:0x7b6a73e13ad8b5ee,25.761601,-80.33330029999999,Restaurant,4.6,7,0,0,0,0,Miami
Europa Restaurant And Grille,"Europa Restaurant And Grille, 4299 Collins Ave, Miami Beach, FL 33140",0x88d9b369b139a943:0x1d9ee3cf989429c2,25.814206199999997,-80.1224103,Restaurant,4.4,7,0,0,0,0,Miami
Real Meals,"Real Meals, 196 NW 36th St, Miami, FL 33127",0x88d9b18824f729cb:0xec918ef6eae98f9b,25.810157699999998,-80.1992533,Restaurant,4.7,8,0,0,0,0,Miami
La Pupusa Factory,"La Pupusa Factory, 1947 W Flagler St, Miami, FL 33135",0x88d9b6e36c859cb3:0xa9a5e651a22e92a3,25.7728562,-80.22781429999999,Restaurant,3.3,8,0,0,0,0,Miami
Baluna,"Baluna, 16200 NW 59th Ave STE 103, Miami Lakes, FL 33014",0x88d9a5474229abb3:0x91b5bd04644af729,25.920702199999997,-80.2975606,Restaurant,5.0,8,1,0,0,0,Miami
Hobart Service,"Hobart Service, 9100 NW 7th Ave, Miami, FL 33150",0x88d9b1a2065a972f:0xbdf3ff4b6121b83f,25.858396,-80.21002899999999,Restaurant,4.3,15,1,0,0,0,Miami
Shell,"Shell, 1046 S Miami St, West Milton, OH 45383",0x883f83b7a241eb9b:0xe4d83ee834e5353d,39.947072999999996,-84.32134599999999,Restaurant,4.6,18,1,0,0,0,Miami
Subway,"Subway, 8352 Mills Dr, Miami, FL 33183",0x88d9c0c3a05a45df:0xb3d1f93ccfb2da60,25.6898643,-80.38809619999999,Restaurant,3.4,26,0,0,0,0,Miami
Mia Cafe,"Mia Cafe, 2691 NE 203rd St, Miami, FL 33180",0x88d9ac5e060d9e6b:0x3e583d42bfe7c999,25.964112999999998,-80.14822199999999,Restaurant,4.2,28,1,0,0,1,Miami
Ron's Pizza Delivery,"Ron's Pizza Delivery, 432 Maple Ave, Miamisburg, OH 45342",0x8840628c92c269eb:0x31b04767203db709,39.642136099999995,-84.2838967,Restaurant,4.4,44,1,0,0,0,Miami
Subway,"Subway, 10728 NW 74th St Unit #5, Miami, FL 33185",0x88d9bc74bd3d15b9:0x238ad8199b7638cf,25.8393031,-80.37121359999999,Restaurant,3.8,44,0,0,0,0,Miami
Charcoal Garden Bar + Grill,"Charcoal Garden Bar + Grill, 82 NW 29th St, Miami, FL 33127",0x88d9b6ad31abd709:0xe0484c86b6a08d31,25.803628,-80.19673399999999,Restaurant,3.9,44,0,0,0,0,Miami
Vocelli Pizza - Temporarily Closed,"Vocelli Pizza - Temporarily Closed, 3115 NE 163rd Street (Sunny Isles Blvd), North Miami Beach, FL 33160",0x88d9ad08ec458513:0x556b285b7afd654d,25.927391099999998,-80.1390107,Restaurant,3.8,46,0,0,0,0,Miami
